World Rank, Total Score,PUB,Institution,country
1,348.2,76,massachusetts institute of technology (mit),usa
2,277.3,69.5,stanford university,usa
3,268.4,72.4,carnegie mellon university,usa
4,266.9,66.5,swiss federal institute of technology zurich,switzerland
5,262.2,61.8,"university of california, berkeley",usa
6,244.2,52.9,"university of california, los angeles",usa
7,238.2,100,tsinghua university,china
8,227.7,58.7,harvard university,usa
9,220.1,87.2,nanyang technological university,china
10,215.1,46.8,princeton university,usa
11,213.3,58.2,university of toronto,canada
12,212.8,44.2,cornell university,usa
13,212.2,58.2,university of oxford,united kingdom
14,206.4,84.6,zhejiang university,china
15,205.3,77.4,national university of singapore,singapore
16,202.6,57.8,university of southern california,
17,201,57.1,the university of texas at austin,
18,198.2,38.7,university of north carolina at chapel hill,
19,193.7,58.1,the chinese university of hong kong,
20,192.6,55.6,university college london,
21,192.3,27,weizmann institute of science,
22,191.1,64.5,university of illinois at urbana-champaign,
23,189.5,49.4,the university of edinburgh,
24,187.5,66,georgia institute of technology,
25,186.5,51.1,columbia university,
26,186,59.3,swiss federal institute of technology lausanne,
27,184.3,53.9,"university of maryland, college park",
28,183.9,79.3,shanghai jiao tong university,
29,183.2,54,"university of california, san diego",
30,183,35.7,university of copenhagen,
31,182.1,50,université grenoble alpes,
32,181.7,54.8,university of british columbia,
33,179.6,48.9,university of washington,
34,178.7,47.3,university of wisconsin - madison,
34,178.7,61.8,university of science and technology of china,
36,176.7,66.5,university of waterloo,
37,175.7,48.8,tel aviv university,
38,175.6,73.1,city university of hong kong,
39,174.7,47.5,new york university,
40,173.2,77.3,huazhong university of science and technology,
40,173.2,71.7,harbin institute of technology,
40,173.2,58.3,imperial college london,
43,173.1,39.6,the university of adelaide,
43,173.1,59.1,university of michigan-ann arbor,
45,172.4,62.8,peking university,
46,172.2,44.8,the australian national university,
47,169.8,54.6,university of technology sydney,
48,167.8,60.1,korea advanced institute of science and technology,
49,167.7,66.8,the hong kong polytechnic university,
50,166.1,56.7,technical university munich,
51-75, ,54,aalto university,
51-75, ,51.5,arizona state university,
51-75, ,70.7,beihang university,
51-75, ,36,california institute of technology,
51-75, ,64.2,dalian university of technology,
51-75, ,42.4,karlsruhe institute of technology (kit),
51-75, ,35.1,king abdullah university of science and technology,
51-75, ,59.6,ku leuven,
51-75, ,36.5,mcmaster university,
51-75, ,37,nanjing university of information science & technology,
51-75, ,61.5,purdue university - west lafayette,
51-75, ,51.6,"rutgers, the state university of new jersey - new brunswick",
51-75, ,58.3,seoul national university,
51-75, ,46.4,simon fraser university,
51-75, ,62.9,southeast university,
51-75, ,52.7,technion-israel institute of technology,
51-75, ,54.7,the hong kong university of science and technology,
51-75, ,48.4,the university of hong kong,
51-75, ,54.3,the university of tokyo,
51-75, ,56.5,university of cambridge,
51-75, ,65.9,university of electronic science and technology of china,
51-75, ,34.6,university of oslo,
51-75, ,44.4,university of pennsylvania,
51-75, ,61.8,xian jiao tong university,
51-75, ,74.9,xidian university,
76-100, ,62.9,beijing university of posts and telecommunications,
76-100, ,58.2,delft university of technology,
76-100, ,32.9,graz university of technology,
76-100, ,44.6,johns hopkins university,
76-100, ,56.1,king abdulaziz university,
76-100, ,46,kth royal institute of technology,
76-100, ,44.5,michigan state university,
76-100, ,54.1,nanjing university,
76-100, ,47.8,northwestern polytechnical university,
76-100, ,40.6,northwestern university,
76-100, ,51.9,pennsylvania state university - university park,
76-100, ,64.9,polytechnic university of catalonia,
76-100, ,44,rwth aachen university,
76-100, ,47.5,sapienza university of rome,
76-100, ,53.4,sun yat-sen university,
76-100, ,40.3,technical university of denmark,
76-100, ,47,the ohio state university - columbus,
76-100, ,45.6,the university of melbourne,
76-100, ,41,"university at buffalo, the state university of new york",
76-100, ,44.6,"university of california, irvine",
76-100, ,56.3,university of granada,
76-100, ,52.3,university of montreal,
76-100, ,30.9,university of virginia,
76-100, ,52.2,vienna university of technology,
76-100, ,48,virginia polytechnic institute and state university,
101-150, ,33,aarhus university,
101-150, ,52.2,beijing institute of technology,
101-150, ,34.2,boston university,
101-150, ,30.2,brown university,
101-150, ,34,centralesupelec,
101-150, ,42.7,duke university,
101-150, ,23.9,ecole normale superieure - paris,
101-150, ,53.9,eindhoven university of technology,
101-150, ,30.3,heidelberg university,
101-150, ,39.3,indiana university bloomington,
101-150, ,44.5,institut national polytechnique de grenoble,
101-150, ,57.2,korea university,
101-150, ,46.1,mcgill university,
101-150, ,52.3,nanjing university of science and technology,
101-150, ,56.2,national taiwan university,
101-150, ,63.9,national university of defense technology,
