,World Rank,Institution,Location,National Rank
0,1,harvard university,usa,1
1,2,stanford university,usa,2
2,3,massachusetts institute of technology,usa,3
3,4,university of cambridge,united kingdom,1
4,5,university of oxford,united kingdom,2
5,6,"university of california, berkeley",usa,4
6,7,princeton university,usa,5
7,8,columbia university,usa,6
8,9,california institute of technology,usa,7
9,10,university of chicago,usa,8
10,11,yale university,usa,9
11,12,university of tokyo,japan,1
12,13,university of pennsylvania,usa,10
13,14,cornell university,usa,11
14,15,"university of california, los angeles",usa,12
15,16,johns hopkins university,usa,13
16,17,university of toronto,canada,1
17,18,"university of michigan, ann arbor",usa,14
18,19,university of washington - seattle,usa,15
19,20,"university of california, san diego",usa,16
20,21,university college london,united kingdom,3
21,22,"university of california, san francisco",usa,17
22,23,northwestern university,usa,18
23,24,duke university,usa,19
24,25,new york university,usa,20
25,26,kyoto university,japan,2
26,27,university of wisconsin–madison,usa,21
27,28,eth zurich,switzerland,1
28,29,sorbonne university,france,1
29,30,imperial college london,united kingdom,4
30,31,university of texas at austin,usa,22
31,32,university of illinois at urbana–champaign,usa,23
32,33,university of north carolina at chapel hill,usa,24
33,34,university of edinburgh,united kingdom,5
34,35,university of minnesota twin cities,usa,25
35,36,washington university in st. louis,usa,26
36,37,mcgill university,canada,2
37,38,university of british columbia,canada,3
38,39,university of copenhagen,denmark,1
39,40,ohio state university,usa,27
40,41,rutgers university-new brunswick,usa,28
41,42,"university of california, davis",usa,29
42,43,pennsylvania state university,usa,30
43,44,university of manchester,united kingdom,6
44,45,weizmann institute of science,israel,1
45,46,heidelberg university,germany,1
46,47,"university of maryland, college park",usa,31
47,48,ludwig maximilian university of munich,germany,2
48,49,karolinska institute,sweden,1
49,50,university of colorado boulder,usa,32
50,51,university of southern california,usa,33
51,52,university of arizona,usa,34
52,53,osaka university,japan,3
53,54,university of paris-sud,france,2
54,55,university of geneva,switzerland,2
55,56,boston university,usa,35
56,57,university of melbourne,australia,1
57,58,brown university,usa,36
58,59,"university of california, irvine",usa,37
59,60,seoul national university,south korea,1
60,61,hebrew university of jerusalem,israel,2
61,62,university of florida,usa,38
62,63,"purdue university, west lafayette",usa,39
63,64,vanderbilt university,usa,40
64,65,university of bristol,united kingdom,7
65,66,university of texas southwestern medical center,usa,41
66,67,sapienza university of rome,italy,1
67,68,king's college london,united kingdom,8
68,69,university of zurich,switzerland,3
69,70,"university of california, santa barbara",usa,42
70,71,university of sydney,australia,2
71,72,utrecht university,netherlands,1
72,73,university of pittsburgh,usa,43
73,74,university of queensland,australia,3
74,75,university of oslo,norway,1
75,76,rockefeller university,usa,44
76,77,university of são paulo,brazil,1
77,78,"texas a&m university, college station",usa,45
78,79,university of virginia,usa,46
79,80,emory university,usa,47
80,81,free university of berlin,germany,3
81,82,australian national university,australia,4
82,83,university of utah,usa,48
83,84,paris diderot university,france,3
84,85,tel aviv university,israel,3
85,86,uppsala university,sweden,2
86,87,university of barcelona,spain,1
87,88,aarhus university,denmark,2
88,89,university of texas md anderson cancer center,usa,49
89,90,leiden university,netherlands,2
90,91,carnegie mellon university,usa,50
91,92,peking university,china,1
92,93,university of helsinki,finland,1
93,94,baylor college of medicine,usa,51
94,95,lund university,sweden,3
95,96,university of alberta,canada,4
96,97,grenoble alpes university,france,4
97,98,tsinghua university,china,2
98,99,university of basel,switzerland,4
99,100,university of groningen,netherlands,3
100,101,humboldt university of berlin,germany,4
101,102,école polytechnique fédérale de lausanne,switzerland,5
102,103,national university of singapore,singapore,1
103,104,ghent university,belgium,1
104,105,university of rochester,usa,52
105,106,erasmus university rotterdam,netherlands,4
106,107,ku leuven,belgium,2
107,108,university of bern,switzerland,6
108,109,national taiwan university,taiwan,1
109,110,university of montreal,canada,5
110,111,"university of california, santa cruz",usa,53
111,112,technical university of munich,germany,5
112,113,nagoya university,japan,4
113,114,arizona state university,usa,54
114,115,university of bonn,germany,6
115,116,école polytechnique,france,5
116,117,école normale supérieure,france,6
117,118,university of nottingham,united kingdom,9
118,119,university of new south wales,australia,5
119,120,tohoku university,japan,5
120,121,mcmaster university,canada,6
121,122,dartmouth college,usa,55
122,123,university of amsterdam,netherlands,5
123,124,monash university,australia,6
124,125,university of hamburg,germany,7
125,126,moscow state university,russia,1
126,127,vu university amsterdam,netherlands,6
127,128,stony brook university,usa,56
128,129,rice university,usa,57
129,130,radboud university nijmegen,netherlands,7
130,131,cardiff university,united kingdom,10
131,132,university of tübingen,germany,8
132,133,university of colorado denver | anschutz medical campus,usa,58
133,134,university of iowa,usa,59
134,135,university of strasbourg,france,7
135,136,shanghai jiao tong university,china,3
136,137,university of southampton,united kingdom,11
137,138,aix-marseille university,france,8
138,139,georgia institute of technology,usa,60
139,140,tokyo institute of technology,japan,6
140,141,university of montpellier,france,9
141,142,case western reserve university,usa,61
142,143,indiana university bloomington,usa,62
143,144,michigan state university,usa,63
144,145,university of western australia,australia,7
145,146,university of lausanne,switzerland,7
146,147,technion – israel institute of technology,israel,4
147,148,university of milan,italy,2
148,149,goethe university frankfurt,germany,9
149,150,university of padua,italy,3
150,151,oregon health & science university,usa,64
151,152,autonomous university of barcelona,spain,2
152,153,icahn school of medicine at mount sinai,usa,65
153,154,tufts university,usa,66
154,155,university of göttingen,germany,10
155,156,royal institute of technology,sweden,4
156,157,zhejiang university,china,4
157,158,university of glasgow,united kingdom,12
158,159,stockholm university,sweden,5
159,160,university of notre dame,usa,67
160,161,université catholique de louvain,belgium,3
161,162,university of sheffield,united kingdom,13
162,163,university of warwick,united kingdom,14
163,164,university of leeds,united kingdom,15
164,165,university of freiburg,germany,11
165,166,university of gothenburg,sweden,6
166,167,north carolina state university,usa,68
167,168,wageningen university and research,netherlands,8
168,169,university of birmingham,united kingdom,16
169,170,fudan university,china,5
170,171,university of hong kong,hong kong,1
171,172,university of vienna,austria,1
172,173,nanyang technological university,singapore,2
173,174,hokkaido university,japan,7
174,175,keio university,japan,8
175,176,université libre de bruxelles,belgium,4
176,177,iowa state university,usa,69
177,178,chinese university of hong kong,hong kong,2
178,179,university of liverpool,united kingdom,17
179,180,university of georgia,usa,70
180,181,paris descartes university,france,10
181,182,university of massachusetts medical school,usa,71
182,183,"university of science and technology, korea",south korea,2
183,184,university of massachusetts amherst,usa,72
184,185,university of florence,italy,4
185,186,university of münster,germany,12
186,187,queen mary university of london,united kingdom,18
187,188,newcastle university,united kingdom,19
188,189,university of chinese academy of sciences,china,6
189,190,university of missouri–columbia,usa,73
190,191,university of alabama at birmingham,usa,74
191,192,durham university,united kingdom,20
192,193,university of connecticut,usa,75
193,194,university of texas health science center at houston,usa,76
194,195,yeshiva university,usa,77
195,196,university of calgary,canada,7
196,197,university of miami,usa,78
197,198,western university,canada,8
198,199,paul sabatier university - toulouse iii,france,11
199,200,nanjing university,china,7
200,201,university of bologna,italy,5
201,202,sun yat-sen university,china,8
202,203,charles university in prague,czech republic,1
203,204,university of cincinnati,usa,79
204,205,university of ottawa,canada,9
205,206,university of liège,belgium,5
206,207,tu dresden,germany,13
207,208,university of turin,italy,6
208,209,university of science and technology of china,china,9
209,210,"university of maryland, baltimore",usa,80
210,211,university of sussex,united kingdom,21
211,212,rwth aachen university,germany,14
212,213,university of cologne,germany,15
213,214,university of würzburg,germany,16
214,215,technical university of denmark,denmark,3
215,216,university of erlangen-nuremberg,germany,17
216,217,university of illinois at chicago,usa,81
217,218,sungkyunkwan university,south korea,3
218,219,louisiana state university,usa,82
219,220,university of lisbon,portugal,1
220,221,claude bernard university lyon 1,france,12
221,222,yonsei university,south korea,4
222,223,university of cape town,south africa,1
223,224,university of kansas,usa,83
224,225,university college dublin,ireland,1
225,226,kyushu university,japan,9
226,227,university of porto,portugal,2
227,228,"trinity college, dublin",ireland,2
228,229,university of adelaide,australia,8
229,230,university of the witwatersrand,south africa,2
230,231,university of manitoba,canada,10
231,232,karlsruhe institute of technology,germany,18
232,233,university of kiel,germany,19
233,234,johannes gutenberg university mainz,germany,20
234,235,indiana university – purdue university indianapolis,usa,84
235,236,university of auckland,new zealand,1
236,237,korea university,south korea,5
237,238,university of tsukuba,japan,10
238,239,wake forest university,usa,85
239,240,ulm university,germany,21
240,241,queensland university of technology,australia,9
241,242,university of lille,france,13
242,243,university of aberdeen,united kingdom,22
243,244,colorado state university,usa,86
244,245,"university of california, riverside",usa,87
245,246,virginia commonwealth university,usa,88
246,247,university of naples federico ii,italy,7
247,248,florida state university,usa,89
248,249,maastricht university,netherlands,9
249,250,brandeis university,usa,90
250,251,oregon state university,usa,91
251,252,university of bergen,norway,2
252,253,wayne state university,usa,92
253,254,"university of tennessee, knoxville",usa,93
254,255,umeå university,sweden,7
255,256,london school of hygiene & tropical medicine,united kingdom,23
256,257,university of new mexico,usa,94
257,258,national autonomous university of mexico,mexico,1
258,259,university of kentucky,usa,95
259,260,university of warsaw,poland,1
260,261,queen's university,canada,11
261,262,university of south florida,usa,96
262,263,norwegian university of science and technology,norway,3
263,264,complutense university of madrid,spain,3
264,265,xi'an jiaotong university,china,10
265,266,university of leicester,united kingdom,24
266,267,medical university of vienna,austria,2
267,268,university of waterloo,canada,12
268,269,laval university,canada,13
269,270,shandong university,china,11
270,271,university of valencia,spain,4
271,272,university of east anglia,united kingdom,25
272,273,university at buffalo,usa,97
273,274,london school of economics,united kingdom,26
274,275,virginia tech,usa,98
275,276,huazhong university of science and technology,china,12
276,277,washington state university,usa,99
277,278,dalhousie university,canada,14
278,279,university of york,united kingdom,27
279,280,autonomous university of madrid,spain,5
280,281,university of exeter,united kingdom,28
281,282,university of south carolina - columbia,usa,100
282,283,university of rome tor vergata,italy,8
283,284,delft university of technology,netherlands,10
284,285,university of pisa,italy,9
285,286,kobe university,japan,11
286,287,leipzig university,germany,22
287,288,university of delaware,usa,101
288,289,georgetown university,usa,102
289,290,university of duisburg-essen,germany,23
290,291,ruhr university bochum,germany,24
291,292,university of antwerp,belgium,6
292,293,university of buenos aires,argentina,1
293,294,university of düsseldorf,germany,25
294,295,kaist,south korea,6
295,296,sichuan university,china,13
296,297,national cheng kung university,taiwan,2
297,298,federal university of rio de janeiro,brazil,2
298,299,university of houston,usa,103
299,300,harbin institute of technology,china,14
300,301,university of innsbruck,austria,3
301,302,chinese academy of medical sciences & peking union medical college,china,15
302,303,waseda university,japan,12
303,304,university of texas at dallas,usa,104
304,305,national and kapodistrian university of athens,greece,1
305,306,university of hawaii at manoa,usa,105
306,307,university of lorraine,france,14
307,308,george washington university,usa,106
308,309,university of otago,new zealand,2
309,310,versailles saint-quentin-en-yvelines university,france,15
310,311,simon fraser university,canada,15
311,312,tongji university,china,16
312,313,university of nebraska–lincoln,usa,107
313,314,university of perugia,italy,10
314,315,queen's university belfast,united kingdom,29
315,316,university of texas health science center at san antonio,usa,108
316,317,university of jena,germany,26
317,318,university of granada,spain,6
318,319,south china university of technology,china,17
319,320,university of dundee,united kingdom,30
320,321,vrije universiteit brussel,belgium,7
321,322,george mason university,usa,109
322,323,king abdulaziz university,saudi arabia,1
323,324,macquarie university,australia,10
324,325,pontifical catholic university of chile,chile,1
325,326,university of guelph,canada,16
326,327,university of regensburg,germany,27
327,328,central south university,china,18
328,329,grenoble institute of technology,france,16
329,330,thomas jefferson university,usa,110
330,331,mines paristech,france,17
331,332,university of st andrews,united kingdom,31
332,333,medical university of south carolina,usa,111
333,334,jilin university,china,19
334,335,wuhan university,china,20
335,336,hanyang university,south korea,7
336,337,nankai university,china,21
337,338,university of southern denmark,denmark,4
338,339,university of turku,finland,2
339,340,hong kong university of science and technology,hong kong,3
340,341,temple university,usa,112
341,342,hong kong polytechnic university,hong kong,4
342,343,university of belgrade,serbia,1
343,344,northeastern university,usa,113
344,345,university of stuttgart,germany,28
345,346,dalian university of technology,china,22
346,347,tianjin university,china,23
347,348,pohang university of science and technology,south korea,8
348,349,university of genoa,italy,11
349,350,hannover medical school,germany,29
350,351,griffith university,australia,11
351,352,"university at albany, suny",usa,114
352,353,university of giessen,germany,30
353,354,drexel university,usa,115
354,355,aalto university,finland,3
355,356,pompeu fabra university,spain,7
356,357,linköping university,sweden,8
357,358,city university of hong kong,hong kong,5
358,359,university of the basque country,spain,8
359,360,university of campinas,brazil,3
360,361,"soochow university, china",china,24
361,362,kansas state university,usa,116
362,363,university of victoria,canada,17
363,364,polytechnic university of milan,italy,12
364,365,university of oulu,finland,4
365,366,university of pavia,italy,13
366,367,southeast university,china,25
367,368,swedish university of agricultural sciences,sweden,9
368,369,xiamen university,china,26
369,370,university of ljubljana,slovenia,1
370,371,islamic azad university,iran,1
371,372,"unesp, são paulo state university",brazil,4
372,373,university of new hampshire,usa,117
373,374,medical college of wisconsin,usa,118
374,375,aristotle university of thessaloniki,greece,2
375,376,university of vermont,usa,119
376,377,hiroshima university,japan,13
377,378,national tsing hua university,taiwan,3
378,379,eindhoven university of technology,netherlands,11
379,380,university of marburg,germany,31
380,381,jagiellonian university,poland,2
381,382,pusan national university,south korea,9
382,383,beijing normal university,china,27
383,384,university of chile,chile,2
384,385,kyung hee university,south korea,10
385,386,lancaster university,united kingdom,32
386,387,deakin university,australia,12
387,388,york university,canada,18
388,389,okayama university,japan,14
389,390,james cook university,australia,13
390,391,university of bath,united kingdom,33
391,392,university of trieste,italy,14
392,393,"university of oklahoma, norman",usa,120
393,394,ben-gurion university of the negev,israel,5
394,395,university of twente,netherlands,12
395,396,china agricultural university,china,28
396,397,university of wollongong,australia,14
397,398,federal university of rio grande do sul,brazil,5
398,399,university of tasmania,australia,15
399,400,curtin university,australia,16
400,401,tu wien,austria,4
401,402,university of kwazulu-natal,south africa,3
