world_rank,university_name,national_rank,total_score
1,Harvard University,1,100
2,Stanford University,2,73.3
3,Massachusetts Institute of Technology (MIT),3,70.4
4,"University of California, Berkeley",4,69.6
5,University of Cambridge,1,68.8
6,Princeton University,5,61
7,California Institute of Technology,6,59.6
8,Columbia University,7,58.8
9,University of Chicago,8,57.1
10,University of Oxford,2,56.6
11,Yale University,9,54.5
12,"University of California, Los Angeles",10,50.7
13,Cornell University,11,50.5
14,"University of California, San Diego",12,48.7
15,University of Washington,13,47.8
16,Johns Hopkins University,14,46.3
17,University of Pennsylvania,15,46.1
18,University College London,3,44.5
18,"University of California, San Francisco",16,44.5
20,Swiss Federal Institute of Technology Zurich,1,43.7
21,The University of Tokyo,1,42
22,University of Michigan-Ann Arbor,17,41.7
23,"The Imperial College of Science, Technology and Medicine",4,41.5
24,University of Wisconsin - Madison,18,41.1
25,University of Toronto,1,40.6
26,Kyoto University,2,38.9
27,New York University,19,38.8
27,Northwestern University,19,38.8
29,University of Illinois at Urbana-Champaign,21,38.6
30,"University of Minnesota, Twin Cities",22,38.5
31,Duke University,23,38
32,Washington University in St. Louis,24,37.4
33,Rockefeller University,25,36.5
34,University of Colorado at Boulder,26,36
35,University of Copenhagen,1,35.7
36,Pierre and Marie  Curie University - Paris 6,1,35
37,The University of Texas at Austin,27,34.8
38,"University of California, Santa Barbara",28,34.6
39,University of North Carolina at Chapel Hill,29,34.4
40,University of British Columbia,2,34.1
41,The University of Manchester,5,33.6
41,University of Paris-Sud (Paris 11),2,33.6
43,"University of Maryland, College Park",30,32.8
44,The University of Melbourne,1,32.3
44,The University of Texas Southwestern Medical Center at Dallas,31,32.3
46,Heidelberg University,1,32.2
47,The University of Edinburgh,6,32
48,Karolinska Institute,1,31.9
49,University of Southern California,32,31.3
50,"University of California, Irvine",33,31
51,Technical University Munich,2,30.5
52,University of Munich,3,30.3
53,Vanderbilt University,34,30.2
54,University of Zurich,2,30.1
55,King's College London,7,30
56,Utrecht University,1,29.8
57,"University of California, Davis",35,29.7
58,University of Geneva,3,29.4
58,University of Oslo,1,29.4
60,Pennsylvania State University - University Park,36,29.3
61,Carnegie Mellon University,37,29.2
61,Purdue University - West Lafayette,37,29.2
61,Uppsala University,2,29.2
64,McGill University,3,28.5
64,"Rutgers, The State University of New Jersey - New Brunswick",39,28.5
66,University of Bristol,8,28.3
67,The Hebrew University of Jerusalem,1,28.2
67,The Ohio State University - Columbus,40,28.2
67,University of Helsinki,1,28.2
70,"University of Pittsburgh, Pittsburgh Campus",41,28.1
71,Ghent University,1,27.8
72,Ecole Normale Superieure - Paris,3,27.6
73,Aarhus University,2,27.3
73,Boston University,42,27.3
75,Brown University,43,27
75,University of Groningen,2,27
77,Nagoya University,3,26.7
77,Stockholm University,3,26.7
