,world_rank,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio
0,1,california institute of technology,usa,95.6,64.0,97.6,99.8,97.8,95.2,2243.0,6.9,27%,33 : 67
1,2,university of oxford,united kingdom,86.5,94.4,98.9,98.8,73.1,94.2,19919.0,11.6,34%,46:54:00
2,3,stanford university,usa,92.5,76.3,96.2,99.9,63.3,93.9,15596.0,7.8,22%,42:58:00
3,4,university of cambridge,united kingdom,88.2,91.5,96.7,97.0,55,92.8,18812.0,11.8,34%,46:54:00
4,5,massachusetts institute of technology,usa,89.4,84.0,88.6,99.7,95.4,92,11074.0,9.0,33%,37 : 63
5,6,harvard university,usa,83.6,77.2,99.0,99.8,45.2,91.6,20152.0,8.9,25%,nan
6,7,princeton university,usa,85.1,78.5,91.9,99.3,52.1,90.1,7929.0,8.4,27%,45:55:00
7,8,imperial college london,united kingdom,83.3,96.0,88.5,96.7,53.7,89.1,15060.0,11.7,51%,37 : 63
8,9,eth zurich – swiss federal institute of technology zurich,switzerland,77.0,97.9,95.0,91.1,80,88.3,18178.0,14.7,37%,31 : 69
9,10,university of chicago,usa,85.7,65.0,88.9,99.2,36.6,87.9,14221.0,6.9,21%,42:58:00
10,11,johns hopkins university,usa,77.6,70.0,90.4,98.2,100,87.6,15128.0,3.6,23%,50:50:00
11,12,yale university,usa,86.5,64.3,87.8,97.2,43.3,87.4,11751.0,4.4,20%,50:50:00
12,13,"university of california, berkeley",usa,80.4,61.9,91.1,99.7,47.9,87.2,36186.0,16.4,15%,50:50:00
13,14,university college london,united kingdom,78.1,94.4,91.0,94.2,40.5,87.1,26607.0,10.7,46%,56:44:00
14,15,columbia university,usa,85.9,73.5,82.2,98.1,-,86.1,25055.0,5.9,28%,nan
15,16,"university of california, los angeles",usa,80.8,56.4,88.6,98.5,47.9,85.8,38206.0,10.3,15%,52:48:00
16,17,university of pennsylvania,usa,82.0,49.5,86.9,98.6,47.9,85.2,20376.0,6.5,20%,51:49:00
17,18,cornell university,usa,77.9,63.9,86.1,97.2,33.7,84,21424.0,10.2,19%,48:52:00
18,19,university of toronto,canada,75.9,77.8,89.3,90.9,49.1,83.9,66198.0,19.5,15%,nan
19,20,duke university,usa,76.0,56.5,78.0,99.0,100,82.7,15172.0,4.8,17%,49:51:00
20,21,university of michigan,usa,76.8,53.7,85.2,94.4,56.3,82.4,41786.0,9.0,16%,48:52:00
21,22,carnegie mellon university,usa,67.4,57.1,88.8,99.1,57.5,82.3,11885.0,13.1,35%,39 : 61
22,23,london school of economics and political science,united kingdom,69.8,93.6,80.6,94.3,32.2,81.3,nan,nan,nan,nan
23,24,university of edinburgh,united kingdom,68.6,89.8,77.2,96.3,36.1,80.3,25774.0,14.1,36%,58:42:00
24,25,northwestern university,usa,69.8,53.9,78.4,96.5,81.2,79.5,18334.0,13.8,15%,48:52:00
25,26,national university of singapore,singapore,71.7,96.2,84.5,79.4,49.8,79.2,31592.0,15.5,34%,49:51:00
26,27,king’s college london,united kingdom,64.5,93.8,75.8,93.8,40.1,78.2,21394.0,11.4,37%,61:39:00
27,28,karolinska institute,sweden,60.6,73.1,81.1,92.2,75.8,77.5,7774.0,11.5,22%,70:30:00
28,29,lmu munich,germany,70.5,62.8,77.4,85.7,100,77.3,35691.0,15.5,13%,62:38:00
29,30,new york university,usa,74.7,49.3,72.3,95.3,30.4,77.2,42056.0,6.8,19%,55:45:00
30,31,école polytechnique fédérale de lausanne,switzerland,61.3,98.6,67.5,94.6,65.4,76.1,9666.0,10.5,54%,27 : 73
31,32,university of washington,usa,67.1,51.2,70.0,98.6,43.1,75.6,44020.0,11.8,13%,53:47:00
32,33,university of melbourne,australia,62.0,87.1,75.5,86.6,64.6,75.4,40128.0,23.7,35%,55:45:00
33,34,university of british columbia,canada,60.2,90.5,73.2,91.5,42.6,75.3,50152.0,17.6,25%,54:46:00
34,35,ku leuven,belgium,59.9,68.6,76.9,87.3,100,74.8,42503.0,41.9,18%,54:46:00
35,36,university of illinois at urbana-champaign,usa,64.5,45.8,81.2,86.8,52.8,74.5,42727.0,18.7,20%,47:53:00
36,37,heidelberg university,germany,68.8,62.8,69.6,88.2,68.2,74.4,28881.0,24.5,17%,55:45:00
37,38,mcgill university,canada,66.1,85.5,72.1,78.9,40.3,72.6,31326.0,13.7,23%,56:44:00
38,39,"university of california, san diego",usa,56.9,42.9,69.8,98.7,56.7,72.2,27233.0,6.5,11%,48:52:00
39,39,"university of california, santa barbara",usa,52.6,61.5,66.0,99.2,90.4,72.2,22020.0,27.3,11%,52:48:00
40,41,georgia institute of technology,usa,57.8,71.5,72.7,86.0,73.7,72.1,19967.0,20.1,26%,31 : 69
41,42,peking university,china,77.8,49.2,72.4,69.1,100,72,40148.0,8.3,14%,nan
42,43,university of tokyo,japan,81.4,30.3,83.0,60.9,50.8,71.1,26199.0,5.7,10%,nan
43,44,"university of california, davis",usa,60.1,58.4,72.7,84.3,57.3,71,35364.0,13.9,13%,54:46:00
44,44,university of hong kong,hong kong,64.6,99.5,72.8,70.1,53.7,71,19835.0,17.6,38%,53:47:00
45,46,university of texas at austin,usa,59.3,31.7,69.7,92.2,63.1,70.3,49427.0,17.4,9%,51:49:00
46,47,tsinghua university,china,73.3,39.5,83.0,58.8,100,70,39763.0,13.7,10%,32 : 68
47,47,wageningen university and research center,netherlands,52.6,70.3,66.9,87.8,100,70,9248.0,17.0,21%,56:44:00
48,49,humboldt university of berlin,germany,63.7,62.6,77.0,73.6,36.1,69.9,29987.0,52.5,16%,nan
49,50,university of wisconsin-madison,usa,65.1,33.0,68.2,86.6,48.5,69.7,39655.0,10.8,11%,51:49:00
50,51,brown university,usa,62.8,57.8,55.7,96.4,31.4,69.6,8653.0,10.1,19%,nan
51,52,australian national university,australia,54.7,93.3,77.3,72.3,48,69.5,14604.0,19.2,35%,52:48:00
52,53,technical university of munich,germany,61.0,63.8,66.0,80.1,99.2,69.4,35565.0,31.5,20%,33 : 67
53,54,école normale supérieure,france,70.6,85.5,47.7,87.1,37.1,69,2400.0,7.9,20%,46:54:00
54,55,nanyang technological university,singapore,48.4,94.6,61.3,85.6,99.9,68.2,25028.0,16.2,33%,48:52:00
55,56,university of manchester,united kingdom,58.4,87.0,66.0,77.3,42,68.1,34938.0,15.3,34%,52:48:00
56,56,university of sydney,australia,54.3,84.4,68.1,77.5,72.4,68.1,41868.0,20.2,28%,57:43:00
57,58,university of amsterdam,netherlands,52.2,66.5,64.7,87.4,62.8,67.8,24570.0,14.4,11%,53:47:00
58,59,hong kong university of science and technology,hong kong,49.4,80.5,66.1,82.6,68.1,67.2,11385.0,23.8,36%,nan
59,60,the university of queensland,australia,49.2,89.3,62.8,82.4,76.7,67,34718.0,32.7,27%,53:47:00
60,60,washington university in st louis,usa,54.3,44.9,55.6,99.2,33.5,67,12528.0,5.7,17%,nan
